id,match_str,lex_ref_link_id,lex_ref_gloss,lex_master_id,lex_master_gloss,lemma
4698,cucubiō,47609,NULL,NULL,NULL,cucubiō
4739,mōnstrāre,58759,NULL,NULL,NULL,mōnstrār
4750,nouāre,61325,NULL,NULL,NULL,nouāre
4755,opere,61975,NULL,NULL,NULL,opus
4760,palpor,63241,NULL,NULL,NULL,palpor
4762,procum,64127,NULL,NULL,NULL,procus
4764,polcher,64516,NULL,NULL,NULL,polcher
4781,sōc,68429,NULL,NULL,NULL,sōc
4789,calcitrāre,71261,NULL,NULL,NULL,calcitre
4799,σπιθίαι,74797,NULL,NULL,NULL,σπιθίαι
4810,insipere,78822,NULL,NULL,NULL,insipeo
4825,tesqua,81013,NULL,NULL,NULL,tesqua
4844,prodēre,602,NULL,NULL,NULL,prodēo
4846,horitur,1628,NULL,NULL,NULL,horo
4849,memordī,2997,NULL,NULL,NULL,memordmes
4850,iūnxī,3467,NULL,NULL,NULL,iūnxī
4853,lūsī,4608,NULL,NULL,NULL,lūsī
4854,mīsī,5047,NULL,NULL,NULL,
4865,stinxī,7540,NULL,NULL,NULL,stio
4868,uertī,8877,NULL,NULL,NULL,uerto
